gc fini
État du tas:
Bloc à l'adresse 0x55975a44d560: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d578: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d590: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d5a8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d5c0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d5d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d5f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d608: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d620: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d638: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d650: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d668: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d680: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d698: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d6b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d6c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d6e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d6f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d710: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d728: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d740: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d758: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d770: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d788: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d7a0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d7b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d7d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d7e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d800: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d818: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d830: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d848: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d860: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d878: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d890: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d8a8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d8c0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d8d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d8f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d908: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d920: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d938: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d950: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d968: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d980: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d998: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d9b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d9c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d9e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d9f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da10: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da28: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da40: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da58: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da70: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44da88: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44daa0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dab8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dad0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dae8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db00: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db18: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db30: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db48: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db60: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db78: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44db90: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dba8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dbc0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dbd8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dbf0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc08: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc20: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc38: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc50: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc68: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc80: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dc98: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dcb0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dcc8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dce0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dcf8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd10: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd28: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd40: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd58: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd70: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dd88: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dda0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ddb8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ddd0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dde8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de00: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de18: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de30: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de48: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de60: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de78: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44de90: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dea8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dec0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44ded8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44def0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df08: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df20: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df38: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df50: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df68: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df80: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44df98: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dfb0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dfc8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dfe0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44dff8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e010: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e028: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e040: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e058: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e070: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e088: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e0a0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e0b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e0d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e0e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e100: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e118: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e130: Taille: 2, Tag: 2, Couleur: Noir
